Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Young_GElaS
ENSMUSG00000020472.15	Zkscan17	1.88592241163133	3.17717839012819	2.3147359788748	1.3481346223642
ENSMUSG00000024413.15	Npc1	1.62309187441337	3.53289995597643	1.86598607402751	2.90244206096473
ENSMUSG00000040618.8	Pck2	1.92250221823821	3.26511378499417	2.51453368692508	1.10417082049213
ENSMUSG00000046794.10	Ppp1r3b	4.72103749799968	0.626403565090682	6.01904035130221	6.4853084015208
ENSMUSG00000003477.6	Inmt	4.51970542750158	7.56125744759259	6.23649629420426	1.8969812744408
ENSMUSG00000021097.16	Clmn	2.60002672242886	4.08303089985078	2.7358961896649	2.45707426068129
ENSMUSG00000010936.12	Vac14	3.28192439297763	2.11712958123097	3.25404883865513	2.08447480252356
ENSMUSG00000058258.15	Idi1	3.02308280736841	0.971890378599486	2.93426784736766	3.39109433855124
ENSMUSG00000020917.18	Acly	9.1097862593973	5.04577520300082	10.1080638397153	7.28866913511626
ENSMUSG00000027605.19	Acss2	5.99716269602032	2.41630709454185	5.12844492488198	4.56426306313864
ENSMUSG00000028044.7	Cks1b	4.34408364849499	3.08694568663353	3.79056589749989	1.05451232828605
ENSMUSG00000024007.16	Ppil1	2.85133293337932	1.6765684537244	2.98721311797931	2.0245691129134
ENSMUSG00000028245.16	Nsmaf	2.17675844557613	3.04717980870187	2.24258095208386	1.43653189443136
ENSMUSG00000019558.15	Slc6a8	2.03942254924594	3.43763296825986	2.68385957135831	1.10143639090994
ENSMUSG00000052214.10	Opa3	3.57888216973654	2.42733381856022	3.80558103754364	1.98793075601681
ENSMUSG00000008035.13	Mid1ip1	6.24298984606315	3.93164968033068	6.99666975965363	3.99141133833338
ENSMUSG00000033105.13	Lss	2.50160835258912	0.583770632830487	2.66004329608003	3.12305708846147
ENSMUSG00000028107.15	Tars2	2.62740224791293	1.96888908480333	2.33241424866251	0.506949879626902
ENSMUSG00000020277.11	Pfkl	5.12230497780494	3.64855034990248	5.11623193105793	2.85961710536883
ENSMUSG00000027603.16	Ggt7	1.89308177795484	0.181859616449136	1.35594154041266	1.52902753821908
ENSMUSG00000060961.17	Slc4a4	0.549459679531822	2.60470230958717	1.05049849701598	2.41072997654099
