Geneid	Symbol	HFD_GElaS
ENSMUSG00000042524.15	Sun2	0.839692073306332
ENSMUSG00000033105.13	Lss	2.05785055500383
ENSMUSG00000053317.12	Sec61b	0.928008690737105
ENSMUSG00000001630.14	Stk38l	0.719889000528396
ENSMUSG00000065952.14	Rps23rg1	0
ENSMUSG00000038393.15	Txnip	2.2059083087119
ENSMUSG00000018427.9	Ypel2	0
ENSMUSG00000028906.18	Epb41	0.360316251262956
ENSMUSG00000021273.12	Fdft1	1.11853332107123
ENSMUSG00000042350.14	Arel1	0.893588575129817
ENSMUSG00000056429.5	Tgoln1	1.30529993120168
ENSMUSG00000038550.11	Ciart	2.8520375223873
ENSMUSG00000028127.11	Abcd3	0.264535740743223
ENSMUSG00000041237.13	Pklr	0.461199172073003
ENSMUSG00000022742.7	Cpox	0
ENSMUSG00000028132.16	Tlcd4	1.20937395529681
ENSMUSG00000029664.11	Tfpi2	0
ENSMUSG00000005683.9	Cs	0.215639368422513
ENSMUSG00000058997.9	Vwa8	0.271961758283776
ENSMUSG00000037348.16	Paqr7	0.114665153585631
ENSMUSG00000039202.13	Abhd2	0.00273521557199319
ENSMUSG00000040359.15	Ufl1	0.70271262004213
ENSMUSG00000031534.16	Smim19	1.15885352078825
ENSMUSG00000053907.11	Mat2a	0.359688599855892
ENSMUSG00000027952.17	Pmvk	0.481119512634321
ENSMUSG00000030107.11	Usp18	0.884214001975059
ENSMUSG00000025509.16	Pnpla2	1.8186705380853
ENSMUSG00000036138.17	Acaa1a	0.551076383921422
ENSMUSG00000032782.20	Cntrob	0.249306322312327
ENSMUSG00000025479.10	Cyp2e1	0.794779630755968
ENSMUSG00000022562.16	Oplah	0.0722714793547739
ENSMUSG00000078817.5	Nlrp12	2.04852186393745
ENSMUSG00000050052.13	Tdrp	1.12387907568606
ENSMUSG00000028410.14	Dnaja1	0
ENSMUSG00000053646.14	Plxnb1	0.100656091625506
ENSMUSG00000021748.10	Pdhb	0.391903096227884
ENSMUSG00000038174.15	Fam126b	0
ENSMUSG00000021895.11	Arhgef3	1.4677693962742
ENSMUSG00000030935.16	Acsm3	0.658577384528537
ENSMUSG00000059434.10	Gckr	0
ENSMUSG00000071369.12	Map3k5	1.33218819513732
ENSMUSG00000042213.18	Zfand4	0.113360171613225
ENSMUSG00000040354.15	Mars1	0.552928862090693
ENSMUSG00000028051.11	Hcn3	0.0819830963517582
ENSMUSG00000024132.7	Eci1	0.262408809090052
ENSMUSG00000036752.5	Tubb4b	1.71095472108568
ENSMUSG00000030105.9	Arl8b	0.473497886318498
ENSMUSG00000025732.7	Mcrip2	0
ENSMUSG00000028517.9	Plpp3	0.573296776362198
ENSMUSG00000052934.15	Fbxo31	1.99157294817052
ENSMUSG00000024039.16	Cbs	0
ENSMUSG00000063015.13	Ccni	0.688571580373129
ENSMUSG00000036054.16	Sugp2	0.919437969239553
ENSMUSG00000027999.16	Pla2g12a	1.15214198004763
ENSMUSG00000002083.14	Bbc3	0
ENSMUSG00000023460.14	Rab12	0.776641731849911
ENSMUSG00000032204.14	Aqp9	0.978545230475909
ENSMUSG00000112129.2	Pbld1	1.01519040159373
ENSMUSG00000062729.13	Ppox	0
ENSMUSG00000037580.11	Gch1	1.33962241503839
ENSMUSG00000027765.7	P2ry1	1.06329864249914
ENSMUSG00000030161.9	Gabarapl1	1.57926972816669
ENSMUSG00000020280.13	Pus10	0.162413370925241
ENSMUSG00000031357.4	Syap1	0.371055980183786
ENSMUSG00000027253.16	Lrp4	0.151976700754172
ENSMUSG00000020078.17	Vps26a	0.0442003387965805
ENSMUSG00000021411.17	Pxdc1	0.00622866054401356
ENSMUSG00000030662.11	Ipo5	0
ENSMUSG00000031349.5	Nsdhl	0.552355688374019
ENSMUSG00000020532.19	Acaca	0.369488724495126
ENSMUSG00000062762.18	Ei24	0.900914002301806
ENSMUSG00000029020.14	Mfn2	0.219835601929974
ENSMUSG00000031812.17	Map1lc3b	1.16481355103118
ENSMUSG00000025981.14	Coq10b	0.194441831926752
ENSMUSG00000038552.15	Fndc4	0.0692053194539014
ENSMUSG00000047767.18	Atg16l2	0
ENSMUSG00000028076.13	Cd1d1	0.0860469615078004
ENSMUSG00000033306.16	Lpp	0.615428060861691
ENSMUSG00000033610.17	Pank1	1.13142916055651
ENSMUSG00000052563.14	D930048N14Rik	0.0658419929022688
ENSMUSG00000023832.15	Acat2	0.300018452204061
ENSMUSG00000055912.9	Tmem150a	1.26938521754082
ENSMUSG00000036613.9	Eipr1	0.613448066678924
ENSMUSG00000037697.20	Ddhd1	0.101617653524809
ENSMUSG00000028712.13	Cyp4a31	0.513183026144754
ENSMUSG00000059022.16	Kcp	0.252326430841978
ENSMUSG00000036661.15	Dennd3	0.000526035089715687
ENSMUSG00000015112.16	Slc25a13	0
ENSMUSG00000027577.15	Chrna4	0
ENSMUSG00000042647.14	Acad12	0.400339532422927
ENSMUSG00000060613.11	Cyp2c70	1.96188803074181
ENSMUSG00000024824.8	Rad9a	0.128555486125548
ENSMUSG00000044676.11	Zfp612	0.00791369661230638
ENSMUSG00000025429.10	Pstpip2	0.274848122881368
ENSMUSG00000034707.8	Gns	0.522087609538271
ENSMUSG00000021796.16	Bmpr1a	0.179499763659355
ENSMUSG00000068876.17	Cgn	0.269723625412818
ENSMUSG00000000673.10	Haao	0
ENSMUSG00000022241.7	Tars	0.597485021811015
ENSMUSG00000041769.14	Ppp2r2d	0.97916743577847
ENSMUSG00000038195.7	Rilp	0.130031779638823
ENSMUSG00000025745.13	Hadha	0
ENSMUSG00000021266.17	Wars	0.840728926810825
ENSMUSG00000026112.8	Coa5	0.152211268888944
ENSMUSG00000029364.16	Wsb2	0.318981257977334
ENSMUSG00000038695.14	Josd2	0.706719556140456
ENSMUSG00000063929.7	Cyp4a32	2.19517106516632
ENSMUSG00000037798.8	Mat1a	0.485831668728316
ENSMUSG00000030470.16	Csrp3	1.09645768503451
ENSMUSG00000063704.14	Mapk15	0
ENSMUSG00000046027.18	Stard5	0.109856509162339
ENSMUSG00000022809.5	Nr1i2	0.85540275526681
ENSMUSG00000093930.3	Hmgcs1	0.897791040146926
