Geneid	Symbol	Chow_GElaS
ENSMUSG00000027875.13	Hmgcs2	1.04336013119461
ENSMUSG00000049971.18	Glt1d1	3.18643563797235
ENSMUSG00000028906.18	Epb41	0.17562432628028
ENSMUSG00000044715.8	Gskip	0.943093382477671
ENSMUSG00000037440.9	Vnn1	0.263759992739527
ENSMUSG00000023004.9	Tuba1b	0.266549879980812
ENSMUSG00000029369.18	Afm	0.64252427366353
ENSMUSG00000035914.12	Cd276	1.18224822964624
ENSMUSG00000029664.11	Tfpi2	0.550455550644047
ENSMUSG00000029153.12	Ociad2	0.0792137520649248
ENSMUSG00000001630.14	Stk38l	1.41520078561791
ENSMUSG00000000811.15	Txnrd3	0
ENSMUSG00000028167.16	Bdh2	0.26228454205684
ENSMUSG00000020689.5	Itgb3	1.84306226069928
ENSMUSG00000052934.15	Fbxo31	3.00678933549904
ENSMUSG00000034353.15	Ramp1	0.587134818817522
ENSMUSG00000000686.12	Abhd15	0.952259685683855
ENSMUSG00000056941.18	Commd7	0.874519584707567
ENSMUSG00000056091.13	St3gal5	3.61506737526631
ENSMUSG00000001227.13	Sema6b	0.979889582851902
ENSMUSG00000072949.7	Acot1	0.922708336413716
ENSMUSG00000022579.11	Gpihbp1	1.31879800358842
ENSMUSG00000025195.10	Dnmbp	2.50938775668844
ENSMUSG00000053317.12	Sec61b	0.843364153617581
ENSMUSG00000044167.7	Foxo1	2.01771543965507
ENSMUSG00000028617.11	Lrrc42	0.395129389681798
ENSMUSG00000068747.15	Sort1	1.39326772834976
ENSMUSG00000041779.6	Tram2	2.27753661048488
ENSMUSG00000070056.7	Mfhas1	1.67045161161083
ENSMUSG00000048087.7	Gm4737	0.874004804629001
ENSMUSG00000028444.18	Cntfr	0.592069985143799
ENSMUSG00000066687.6	Zbtb16	4.64977906488326
ENSMUSG00000001670.14	Tat	3.19030205168783
ENSMUSG00000052928.10	Ctif	2.01854923604118
ENSMUSG00000017446.15	C1qtnf1	0.719282681832069
ENSMUSG00000039202.13	Abhd2	0.650947918491457
ENSMUSG00000031762.8	Mt2	8.3553339822853
ENSMUSG00000025223.16	Ldb1	1.1039978274407
ENSMUSG00000011305.12	Plin5	0.95061307846428
ENSMUSG00000036585.17	Fgf1	0.196597480083467
ENSMUSG00000041293.6	Adgrf1	0.0142457481858691
ENSMUSG00000021210.17	Akr1c6	0
ENSMUSG00000031628.10	Casp3	0
ENSMUSG00000027173.8	Depdc7	1.90746194129323
ENSMUSG00000029467.16	Atp2a2	0
ENSMUSG00000006538.13	Ihh	0.766831628503656
ENSMUSG00000019929.17	Dcn	1.4408550580901
ENSMUSG00000027889.18	Ampd2	1.46306652873829
ENSMUSG00000025464.16	Paox	0
ENSMUSG00000000441.18	Raf1	0.784508154501666
ENSMUSG00000014353.16	Tmem87b	0.986224483230932
