Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000041084.9	Ostc	-0.741146031607921	8.47609593017724e-08
ENSMUSG00000032898.10	Fbxo21	1.20348355927708	8.493513007481e-08
ENSMUSG00000002996.18	Hbp1	1.12090755503218	8.47609593017724e-08
ENSMUSG00000033365.15	Ipo13	1.2748759781747	8.493513007481e-08
ENSMUSG00000074781.6	Ube2n	-0.514629212282117	8.493513007481e-08
ENSMUSG00000059890.17	Ube4a	1.70727812332311	8.493513007481e-08
ENSMUSG00000036850.5	Mrpl41	1.15107960446917	8.81963290614756e-08
ENSMUSG00000028821.9	Syf2	0.716145223389911	8.79656815544595e-08
ENSMUSG00000051989.12	Smim11	-0.577091418641168	8.81967525854798e-08
ENSMUSG00000050043.17	Tmx2	-1.23243606149748	8.97951930200148e-08
ENSMUSG00000005362.15	Crbn	0.926856907705032	9.16172695451824e-08
ENSMUSG00000025509.16	Pnpla2	1.83913409503264	9.16172695451824e-08
ENSMUSG00000034936.3	Arl4d	2.04322183433107	9.24326139234889e-08
ENSMUSG00000030161.9	Gabarapl1	2.26314057040194	9.31212330435371e-08
ENSMUSG00000059839.10	Zfp874b	0.875942034207329	9.65804783333355e-08
ENSMUSG00000021709.15	Erbin	1.27173773637601	9.56393938906006e-08
ENSMUSG00000026062.13	Slc9a2	-1.00038936874697	9.92145136561266e-08
ENSMUSG00000002329.8	Mdp1	-0.783151647073489	1.03112986986713e-07
ENSMUSG00000020029.7	Nudt4	-0.998314448367789	1.03026053668068e-07
ENSMUSG00000052310.10	Slc39a1	-0.648287955985661	1.03797809449979e-07
ENSMUSG00000042207.18	Kdm5b	0.541605943320907	1.1003414701121e-07
ENSMUSG00000041777.13	Cir1	1.17545879547909	1.1003414701121e-07
ENSMUSG00000024924.15	Vldlr	1.21345994105474	1.1003414701121e-07
ENSMUSG00000008435.16	Rdh13	-0.597698253515254	1.15967198690234e-07
ENSMUSG00000021226.8	Acot2	3.93315090329079	1.16341727875123e-07
ENSMUSG00000025982.14	Sf3b1	0.697603970047083	1.16341727875123e-07
ENSMUSG00000026185.9	Igfbp5	-2.72137593550901	1.16341727875123e-07
ENSMUSG00000032526.12	Ss18l2	-0.70553190242388	1.18595682167759e-07
ENSMUSG00000026199.18	Ankzf1	0.937889798792634	1.2096121734707e-07
ENSMUSG00000032411.16	Tfdp2	1.57819821742944	1.19060805985765e-07
ENSMUSG00000001576.16	Ergic1	-0.792859162209429	1.2096121734707e-07
ENSMUSG00000024740.11	Ddb1	0.443693851992836	1.2096121734707e-07
ENSMUSG00000028955.4	Vamp3	-0.500058837666825	1.21440979993998e-07
ENSMUSG00000070803.7	Cited4	-2.6077138012198	1.18595682167759e-07
ENSMUSG00000096210.3	H1f0	0.631522989845761	1.21124367494592e-07
ENSMUSG00000024597.12	Slc12a2	1.67247347836148	1.21645115111289e-07
ENSMUSG00000032402.13	Smad3	-1.7413622987815	1.22202628806273e-07
ENSMUSG00000066306.14	Numa1	0.684554954864983	1.22485212304736e-07
ENSMUSG00000021039.10	Snw1	0.656915475988445	1.24987056344013e-07
ENSMUSG00000028760.17	Eif4g3	0.916412833505861	1.27470032624812e-07
ENSMUSG00000014418.17	Hps5	-0.792892256064834	1.3166943593268e-07
ENSMUSG00000075033.5	Nxpe3	1.1813216154925	1.1003414701121e-07
ENSMUSG00000003660.11	Snrnp200	0.667947208192154	1.3033435287191e-07
ENSMUSG00000028822.12	Tmem50a	0.83816931395237	1.33657619294007e-07
ENSMUSG00000029287.15	Tgfbr3	0.995433213792963	1.34293386178991e-07
ENSMUSG00000039703.16	Nploc4	1.10909630116161	1.36226111747948e-07
ENSMUSG00000061315.15	Naca	1.00486222252631	1.37941618226012e-07
ENSMUSG00000052656.13	Rnf103	0.519107265150874	1.40116087674608e-07
ENSMUSG00000025178.10	Pi4k2a	0.910622648187214	1.40116087674608e-07
ENSMUSG00000024750.12	Zfand5	1.74437056286188	1.40116087674608e-07
ENSMUSG00000042129.9	Rassf4	2.44704361613584	1.40116087674608e-07
ENSMUSG00000015522.19	Arnt	1.21684416968166	1.4569350231211e-07
ENSMUSG00000030094.9	Xpc	0.708536945902529	1.57049423015806e-07
ENSMUSG00000021819.12	Zswim8	0.561550414760787	1.53636303264435e-07
ENSMUSG00000029580.15	Actb	-0.812850897419492	1.56175588125705e-07
ENSMUSG00000068742.12	Cry2	1.50688837108423	1.57049423015806e-07
ENSMUSG00000028960.21	Ube4b	0.978466695253347	1.64128744828949e-07
ENSMUSG00000021906.15	Oxnad1	-0.701217897278087	1.69105497000111e-07
ENSMUSG00000015971.6	Actr8	0.704764354324778	1.70122083672313e-07
ENSMUSG00000038074.17	Fkbp14	-0.794093643252596	1.63448261232589e-07
ENSMUSG00000020067.9	Mypn	0.625364642638335	1.70195712515368e-07
ENSMUSG00000016344.15	Ppdpf	-0.531828155033893	1.80287271025303e-07
ENSMUSG00000022270.17	Retreg1	2.86930327181835	1.76105706158377e-07
ENSMUSG00000042390.10	Gatad2b	0.949455442526275	1.76105706158377e-07
ENSMUSG00000083282.4	Ctsf	0.702141329470459	1.83849922256212e-07
ENSMUSG00000026932.15	Nacc2	-1.15535073949962	1.84429271093814e-07
ENSMUSG00000028156.13	Eif4e	-0.617361810955107	1.82848214721312e-07
ENSMUSG00000027244.15	Atg13	1.00915911350455	1.83849922256212e-07
ENSMUSG00000072969.3	Armcx5	1.03723295220773	1.84854470688814e-07
ENSMUSG00000023277.14	Twf2	1.52792806983614	1.84854470688814e-07
ENSMUSG00000046434.17	Hnrnpa1	0.737323379760847	1.85700040821202e-07
ENSMUSG00000025421.16	Hdhd2	-0.777120636703154	1.98055938894167e-07
ENSMUSG00000037020.17	Wdr62	1.0853261371574	1.80112623508763e-07
ENSMUSG00000019998.7	Stx7	-0.5211346388238	1.98631785677877e-07
ENSMUSG00000032594.12	Ip6k1	0.679445931598932	1.98631785677877e-07
ENSMUSG00000049550.18	Clip1	1.903436568482	2.0012604863755e-07
