Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Young_GElaS
ENSMUSG00000019132.12	BC005537	3.98172902421901	5.33139973380256	4.59628028640171	1.11956775456137
ENSMUSG00000032495.9	Lrrc2	4.83302764374794	6.04212975484763	5.67967519529296	0.467582579672974
ENSMUSG00000036181.3	H1f2	6.5748980897222	8.35291687080019	7.32730220168957	1.61440232579518
ENSMUSG00000030967.16	Zranb1	4.18310800398022	5.77576189966528	4.58332580136133	2.05912593762323
ENSMUSG00000024104.12	Washc2	2.19714981561115	2.89385240122981	2.55233111634277	0.475043631141188
ENSMUSG00000031543.19	Ank1	5.57621780142429	4.02480888049113	4.8408223837473	1.21380568807772
ENSMUSG00000026213.16	Stk11ip	1.26665640034989	2.99568894726677	2.02311264587377	1.41352018011627
ENSMUSG00000020034.8	Tcp11l2	3.6037501854818	5.78042867979426	4.23632753465289	2.60300995003996
ENSMUSG00000023055.11	Calcoco1	3.95886589816158	5.03420387162691	4.57398583968987	0.646981711015563
ENSMUSG00000036275.14	9530068E07Rik	4.3074574930186	5.3291076869769	4.78402916101461	0.824787254317772
ENSMUSG00000040435.13	Ppp1r15a	3.26247389140968	5.35776822176054	4.38890604492085	1.39696949360594
ENSMUSG00000062825.16	Actg1	6.07607407745545	4.52448541257995	5.08613745944172	0.751349662379141
ENSMUSG00000031666.16	Rbl2	2.88743129695658	4.55624890861239	3.75915103049415	1.149742330679
ENSMUSG00000030852.19	Tacc2	5.06843761831202	7.51367379288418	6.53588185595972	1.36466276982845
ENSMUSG00000038520.16	Tbc1d17	1.95688336572433	3.22812759560049	2.46104521170386	1.1561828820655
ENSMUSG00000017119.20	Nbr1	3.87642398598972	4.58949133260871	4.19369858035952	0.602016803307691
ENSMUSG00000030739.19	Myh14	2.76554992275619	3.86893132893652	3.6550260355854	0.235626131552952
ENSMUSG00000005514.15	Por	1.99326277377446	3.08781835557692	2.90900698352625	0.186621944548915
ENSMUSG00000006920.15	Ezh1	2.41270542637903	3.61887990618523	2.97162763942438	0.951079133070399
ENSMUSG00000020802.9	Ube2o	2.60119130473929	3.44452688415316	3.25007447872069	0.226848414417708
ENSMUSG00000050148.10	Ubqln2	2.55722574785629	3.4961645725079	3.08552501735362	0.564349599938001
ENSMUSG00000036833.17	Pnpla7	2.54352894480611	4.35868637079615	3.38042443566913	1.46075365592828
ENSMUSG00000020744.14	Slc25a19	3.29617147436788	2.27693683477914	2.66625321499419	0.492726178936446
ENSMUSG00000026234.13	Ncl	4.05738334828247	4.71865950196182	4.43957504696379	0.38916815627928
ENSMUSG00000026172.13	Bcs1l	2.91154522610855	2.04512413352781	2.54175844361655	0.71251512337027
ENSMUSG00000042726.15	Trafd1	3.25310002159405	4.32644628376834	4.00181007531589	0.412803989662732
ENSMUSG00000001138.14	Cnnm3	1.16135616240909	2.32677029949531	1.30105554194959	1.69746482035425
ENSMUSG00000029385.15	Ccng2	1.612987810342	2.8985116234944	2.08788876683126	1.22281953778344
ENSMUSG00000020385.17	Clk4	3.11201587995189	4.19200655330329	3.5039892567184	1.0915003332372
ENSMUSG00000029578.16	Wipi2	1.87694412479609	2.77125383461079	2.21937410053323	0.824324588662786
ENSMUSG00000066036.15	Ubr4	3.34050211900778	4.29689054803166	4.01045101194554	0.36281165226531
ENSMUSG00000008859.9	Rala	3.70195886764377	2.95531774436536	3.32004066281587	0.514559578849067
ENSMUSG00000042548.15	Asxl1	0.921858660630516	2.26044229448836	1.33291070108948	1.38639137867684
ENSMUSG00000027187.11	Cat	5.01942898687931	6.52283223084634	6.39858850317516	0.125524995867129
ENSMUSG00000035569.18	Ankrd11	2.76952126733563	3.77458368323784	3.34060496882717	0.598329925872194
ENSMUSG00000054676.18	1600014C10Rik	3.12553927682542	2.39582432577877	2.71625568320892	0.424855931936286
