Geneid	Symbol	HFD_GElaS
ENSMUSG00000024772.10	Ehd1	0.476320195720911
ENSMUSG00000034394.15	Lif	0.310827316445775
ENSMUSG00000035597.20	Prpf39	0
ENSMUSG00000040928.16	S100pbp	0
ENSMUSG00000046079.17	Lrrc8d	0.126944018412742
ENSMUSG00000087679.3	Tmem250-ps	0.0320191249318718
ENSMUSG00000027661.5	Slc2a10	0.0178060061872686
ENSMUSG00000028085.13	Gatb	0.0137185324920419
ENSMUSG00000081058.6	H3c15	0
ENSMUSG00000000441.18	Raf1	0.59238265305429
ENSMUSG00000025324.9	Atp10a	0.173335562119127
ENSMUSG00000044442.12	N6amt1	0.152420264096676
ENSMUSG00000031880.8	Rrad	0.113893711131987
ENSMUSG00000028007.14	Snx7	0.0115086413924629
ENSMUSG00000023832.15	Acat2	0.251199802869692
ENSMUSG00000033159.15	Cnppd1	0.267045857311303
ENSMUSG00000053774.10	Ubxn7	0.204867518308677
ENSMUSG00000021287.13	Xrcc3	0.343668651424662
ENSMUSG00000074063.11	Osgin1	2.1376076569105
ENSMUSG00000021418.16	Rpp40	0.101643830230049
ENSMUSG00000040329.15	Il7	0.0946336616958629
ENSMUSG00000042726.15	Trafd1	0.372449540764034
ENSMUSG00000051396.16	Gm45902	0.709015341768514
ENSMUSG00000001440.6	Kpnb1	0.131941711533384
ENSMUSG00000041653.6	Pnpla3	0.141676634177094
ENSMUSG00000042487.7	Leo1	0.350830775501544
ENSMUSG00000008226.15	Scrn3	0.105599111828074
ENSMUSG00000017692.9	Rhbdl3	0.615741064079293
ENSMUSG00000027656.8	Ccn5	0
ENSMUSG00000062822.9	4833420G17Rik	0.139340682442226
ENSMUSG00000066042.5	Med18	1.45860409386322
ENSMUSG00000042389.14	Tsen2	0.00535777561786339
ENSMUSG00000030852.19	Tacc2	0.0547211130131781
ENSMUSG00000042532.15	Golga7b	0
ENSMUSG00000044018.4	Mrpl50	0.0664375798769591
ENSMUSG00000033863.3	Klf9	0.787572523337335
ENSMUSG00000023110.13	Prmt5	0.0613452627473115
ENSMUSG00000025153.10	Fasn	0
ENSMUSG00000025027.19	Xpnpep1	0.0814159548162719
ENSMUSG00000006818.6	Sod2	0
ENSMUSG00000059878.13	Zfp422	0.600281947451626
ENSMUSG00000001864.14	Aif1l	0
ENSMUSG00000027710.15	Acad9	0
ENSMUSG00000029238.12	Clock	0.463444322717207
ENSMUSG00000020427.12	Igfbp3	0
ENSMUSG00000024966.10	Stip1	0.130913805248495
ENSMUSG00000031066.11	Usp11	0.227594644679897
