Geneid	Symbol	GElaS
ENSMFAG00000042282	VPS4B	0.424862437467774
ENSMFAG00000038031	FUNDC2	0
ENSMFAG00000034144	""	0.137769216996458
ENSMFAG00000036110	""	0.0706401380940903
ENSMFAG00000042375	MRPS21	0.116699315069718
ENSMFAG00000038344	NDUFB4	0.0540641359873728
ENSMFAG00000045009	RBFA	0.20664556429918
ENSMFAG00000045111	MAN2A1	0.182637817985173
ENSMFAG00000038026	DGKH	0
ENSMFAG00000038759	UBXN8	0
ENSMFAG00000037196	PHLDB2	0.233731490390598
ENSMFAG00000013716	TOMM40L	0
ENSMFAG00000035913	MINK1	0
ENSMFAG00000038439	CINP	0.0443869364155474
ENSMFAG00000043184	KIAA2012	0
ENSMFAG00000058831	""	0.0348268108200184
ENSMFAG00000052778	""	0.292786562260491
ENSMFAG00000044103	SIGMAR1	0.145028553009183
ENSMFAG00000037140	HSP90AA1	0
ENSMFAG00000007059	IL1RL1	0.404110641167226
ENSMFAG00000001366	GLRX3	0.0384087573898062
ENSMFAG00000045746	STIP1	0
ENSMFAG00000001820	CIAO2B	0.0421987025853774
ENSMFAG00000040522	SASH1	0.311948769229445
ENSMFAG00000051758	DBI	0
ENSMFAG00000040582	CHCHD10	0
ENSMFAG00000044563	MRPS12	0.027735200828359
ENSMFAG00000023313	""	0.0221381711719045
ENSMFAG00000053715	""	0.160261986293308
ENSMFAG00000043946	MRPL19	0
ENSMFAG00000045411	STEAP2	0.302966585089728
ENSMFAG00000035385	TIMM10B	0.111343834701433
ENSMFAG00000040841	CCDC92	0.0320894110534513
ENSMFAG00000037994	IQSEC2	0.113104123261013
ENSMFAG00000042053	CHRNB1	0.106452378006617
ENSMFAG00000054257	""	0.206099448166633
ENSMFAG00000042930	DGAT2	0.675977490743066
ENSMFAG00000034305	DIP2A	0
ENSMFAG00000052911	SMIM26	0
ENSMFAG00000003981	""	0.0256232761458592
ENSMFAG00000045541	COA3	0.0981268698808303
ENSMFAG00000011399	CHIC1	0.115091303709936
ENSMFAG00000006908	POLR1G	0.0964624142976448
ENSMFAG00000048388	""	0
ENSMFAG00000036723	MEGF6	0
ENSMFAG00000033451	UFC1	0.0109738947685173
ENSMFAG00000041683	ALDH1A3	0.437935097642884
ENSMFAG00000037495	HMCN1	0
ENSMFAG00000043124	""	0
ENSMFAG00000040006	RPLP2	0.279618639768175
ENSMFAG00000030593	""	0.0219680519624243
ENSMFAG00000000884	UBL4A	0.123075099316553
ENSMFAG00000030364	UBE2V2	0
ENSMFAG00000032651	GOLGA7	0.0649346464871628
ENSMFAG00000046063	TBC1D9	0.603912757022036
ENSMFAG00000033089	NDUFS4	0.0171282495853576
ENSMFAG00000036577	ERICH3	0
ENSMFAG00000018166	LAMTOR2	0.0746247990079958
ENSMFAG00000044837	GTF3A	0
ENSMFAG00000053543	""	0.406003009611454
ENSMFAG00000000231	TIMM17A	0
ENSMFAG00000033600	TSPO	0.0159110637885783
ENSMFAG00000034086	ZNHIT1	0.193462246434267
ENSMFAG00000049732	IPMK	1.04014480088812
ENSMFAG00000023471	CPT1B	0.269185877257554
ENSMFAG00000043921	GCFC2	0.152390186827552
ENSMFAG00000039702	ZNF506	0.108594808064549
ENSMFAG00000062169	TMEM70	0.149881826536758
ENSMFAG00000042425	REXO4	0.01954766925034
ENSMFAG00000033716	ACSL1	0.316097616823358
ENSMFAG00000008867	IMP3	0.503563184530753
ENSMFAG00000041843	""	0
ENSMFAG00000038689	""	0.0296683320185823
ENSMFAG00000041879	CHCHD1	0.0382803964109757
ENSMFAG00000048666	H2AC6	0
ENSMFAG00000036182	CPLANE1	0
ENSMFAG00000030143	TMEM223	0.221103255009801
ENSMFAG00000039642	FAM102B	0.567950716282908
ENSMFAG00000031267	MRGPRF	0.440638203057863
ENSMFAG00000035354	""	0
ENSMFAG00000046067	PDE1C	0.0628220115926766
ENSMFAG00000002955	PLP2	0
ENSMFAG00000045075	SHC1	0
ENSMFAG00000045739	ANKRD28	0.406160472672853
ENSMFAG00000045924	PEMT	0
ENSMFAG00000040024	KARS1	0
ENSMFAG00000031388	STUB1	0.217093918838317
ENSMFAG00000034327	PNPLA7	0
ENSMFAG00000030889	KCTD14	0.123233375500466
ENSMFAG00000036382	ADAMTS9	0.631447044222764
ENSMFAG00000044262	CSF2RB	0.615281605014789
ENSMFAG00000030783	CMC2	0.0853453462148152
ENSMFAG00000032607	TXNDC9	0.0853965490465901
ENSMFAG00000035581	NUDC	0
ENSMFAG00000003446	MRPS24	0
ENSMFAG00000043019	ATP11C	0.088747365401415
ENSMFAG00000045983	ROMO1	0.165543387447859
ENSMFAG00000044367	KIFBP	0
ENSMFAG00000000931	GCC2	0.115428623183569
ENSMFAG00000003883	COX11	0.0446205564037047
ENSMFAG00000052365	SKP1	0.006652198751911
ENSMFAG00000032663	PPP3CB	0
ENSMFAG00000064730	""	0.0539390753173917
ENSMFAG00000035834	MRPS22	0.0357645010462502
ENSMFAG00000002467	""	0
ENSMFAG00000002167	SEC61B	0.119421778070018
ENSMFAG00000036603	""	0.0934082420323343
ENSMFAG00000003980	""	0.0765135738171233
ENSMFAG00000015620	GTF2F2	0
ENSMFAG00000040812	DMRT2	0.594790778723271
ENSMFAG00000033279	PCNX1	0.245970364568353
ENSMFAG00000039816	PIN1	0
ENSMFAG00000033691	""	0.00982793516541483
ENSMFAG00000030022	PINX1	0.301786322080119
ENSMFAG00000045460	FES	0.03611527551753
ENSMFAG00000037347	DUSP16	0.743772906326069
ENSMFAG00000045079	DPY30	0.108229321397356
ENSMFAG00000045085	RPS6KA3	0.244567559837833
ENSMFAG00000040661	WWC3	0.19676084305263
ENSMFAG00000001233	ADGRG6	0.728577079006971
ENSMFAG00000029870	COX5A	0
ENSMFAG00000036062	""	0.132258383035149
ENSMFAG00000042554	PHB	0
ENSMFAG00000040130	BLVRB	0
ENSMFAG00000033270	NFU1	0
ENSMFAG00000042542	MRPS16	0.0402369424640746
ENSMFAG00000030347	RABAC1	0.161740178728061
ENSMFAG00000028608	SREBF1	1.19841619714101
ENSMFAG00000003802	NDUFA11	0.106408536547775
ENSMFAG00000049400	ISCA2	0
ENSMFAG00000031289	PXN	0.185367403566522
ENSMFAG00000042243	CXXC5	1.14587589844816
ENSMFAG00000030521	STAP2	0.154855352795684
ENSMFAG00000033740	TMC6	0.0725653876374668
ENSMFAG00000037329	ZMAT2	0
ENSMFAG00000044258	TRMT112	0.075560536524616
ENSMFAG00000000557	TIMM8A	0.151529366459529
ENSMFAG00000034132	RTCA	0.0215262140311168
ENSMFAG00000041287	DNAJB2	0.104798094696187
ENSMFAG00000003486	ZNF512B	0
ENSMFAG00000039530	AHSA1	0
ENSMFAG00000042455	""	0.0365085022819174
ENSMFAG00000035322	ADRA2B	0.56898786698514
ENSMFAG00000011600	""	0.118117378026145
ENSMFAG00000033158	CDK2AP2	0
ENSMFAG00000041159	RNF10	0
ENSMFAG00000040670	COA8	0
ENSMFAG00000033987	DDX1	0
ENSMFAG00000045350	GARRE1	0.23583708726639
ENSMFAG00000045309	HERPUD2	0.0896132645412347
ENSMFAG00000043620	PDE8A	0.316890014327438
ENSMFAG00000031525	C10orf143	0.0306044276508966
ENSMFAG00000029966	ARL4D	0.609981167496362
ENSMFAG00000034130	PHC3	0.225244979291412
ENSMFAG00000043122	NDUFA9	0
ENSMFAG00000064358	H2BC5	0.0264279868050942
ENSMFAG00000035492	BAD	0.258264047899146
ENSMFAG00000042220	NDUFB5	0
ENSMFAG00000034667	C1orf50	0.0518229113363058
ENSMFAG00000030703	ARV1	0.063254437209875
ENSMFAG00000044774	ELL	0.19780627073221
ENSMFAG00000001847	""	0
ENSMFAG00000033687	POLR2F	0.200059599155634
ENSMFAG00000044289	NAV3	0.0185787019364088
ENSMFAG00000033109	MGST1	0
ENSMFAG00000036404	C11orf24	0.222335510533641
ENSMFAG00000058913	TMEM230	0
ENSMFAG00000059933	GRPEL1	0
ENSMFAG00000043100	RPP40	0.0853102661838333
ENSMFAG00000039005	""	0.42157860772568
ENSMFAG00000045386	ISCU	0.157100521921179
ENSMFAG00000032249	""	0
ENSMFAG00000044349	CCNQ	0.0399684338525658
ENSMFAG00000001432	""	0.129335282609662
ENSMFAG00000045124	UVSSA	0
ENSMFAG00000002360	CIB1	0.0920013262681916
ENSMFAG00000041215	PPIF	0.926874811062676
ENSMFAG00000035383	MRPS25	0.0701271057641942
ENSMFAG00000030830	""	0
ENSMFAG00000045681	""	0
ENSMFAG00000001194	KHDRBS1	0.28348403618671
ENSMFAG00000053223	""	1.34103667043958
ENSMFAG00000034317	PPARG	0.0527423215460335
ENSMFAG00000042901	TRPM6	0
ENSMFAG00000039726	""	0
ENSMFAG00000035374	CMC1	0.00720132671452467
ENSMFAG00000037394	MRPL46	0.0479851955449361
ENSMFAG00000052552	MRM2	0.153107604674586
ENSMFAG00000038541	POLE4	0
ENSMFAG00000033048	PTMS	0.0964028819483089
ENSMFAG00000031617	ACOT2	0.262648550050128
ENSMFAG00000043437	BRWD3	0.0666657123476671
ENSMFAG00000002554	HEG1	0.717131776081926
ENSMFAG00000043173	MRPL18	0.100509769066276
ENSMFAG00000002397	PSMD1	0
ENSMFAG00000045047	""	0.0835090017546604
ENSMFAG00000036343	WDR61	0
ENSMFAG00000000879	CDC37L1	0.103016833861637
ENSMFAG00000002025	FLOT1	0
ENSMFAG00000000533	ARHGAP42	0.639526122664795
ENSMFAG00000036682	DNAJB6	0
ENSMFAG00000035768	PDE3A	0
ENSMFAG00000044099	SPTAN1	0.148542856417668
ENSMFAG00000039921	YBX2	0
ENSMFAG00000033198	PRDX5	0
ENSMFAG00000030204	ADAMTS6	0.0918733198444572
ENSMFAG00000038788	PSMD10	0
ENSMFAG00000053923	TMEM140	0.470896823298163
ENSMFAG00000038168	MRPL24	0
ENSMFAG00000039149	RCOR2	1.25340655597486
ENSMFAG00000037665	ATXN7	0.389283931682136
ENSMFAG00000031516	PTCD2	0
ENSMFAG00000033954	FCHSD1	0
ENSMFAG00000002505	DCTPP1	0.0323860330643555
ENSMFAG00000000150	PCBD1	0
ENSMFAG00000043171	PRADC1	0
ENSMFAG00000031060	BTBD6	0.0249607189439408
ENSMFAG00000031817	TLE4	0.354600740556499
ENSMFAG00000044993	ASAP1	0.0583462534249379
ENSMFAG00000011252	MRFAP1	0.0917282310851493
ENSMFAG00000031374	PREX2	0.129824098535348
ENSMFAG00000037788	ERGIC1	0
ENSMFAG00000032046	CDO1	0.0762101492612487
ENSMFAG00000037200	SEC13	0.0219543928118496
ENSMFAG00000042526	""	0.229157459675096
ENSMFAG00000044216	UBR5	0.0898467500707277
ENSMFAG00000043313	TNFRSF1B	0.150583111595133
ENSMFAG00000000478	PCYT2	0.129912485047377
ENSMFAG00000047434	NUTF2	0.000394657351340325
ENSMFAG00000032062	SCARF1	0
ENSMFAG00000042650	ARRB1	0
ENSMFAG00000000961	ELF4	0.0787215772255825
ENSMFAG00000003856	SUPT4H1	0
ENSMFAG00000015384	AGO2	0.411117441501573
ENSMFAG00000031552	METTL26	0.196743350143755
ENSMFAG00000045196	COQ9	0.0367318313549567
ENSMFAG00000033000	""	0
ENSMFAG00000053533	COX5B	0.113245071543451
ENSMFAG00000049216	SLC25A51	0.085886576570141
ENSMFAG00000045119	NR2C2	0.0482808091766411
ENSMFAG00000003167	PLSCR4	0.0557137636322533
ENSMFAG00000031131	STK17B	0.233855504106206
ENSMFAG00000036985	PDXP	0.16899136296734
ENSMFAG00000000725	ETV6	0.236929299849344
ENSMFAG00000044757	BRF2	0.284655320913321
ENSMFAG00000001234	ZNHIT3	0.0695613270622113
ENSMFAG00000044733	ZNF511	0.155691885637872
ENSMFAG00000039894	SAR1A	0.0113807750869273
ENSMFAG00000049634	NDUFA2	0.188040660690686
ENSMFAG00000052639	""	0.0298181552555281
ENSMFAG00000030258	RBM33	0
ENSMFAG00000042509	PLPP7	0.245267335203453
ENSMFAG00000046245	""	0.0536070520435258
ENSMFAG00000038842	UTP6	0.00621670892242888
ENSMFAG00000045740	NUDT5	0.0595729974828743
ENSMFAG00000003034	AKAP11	0.379500638024893
ENSMFAG00000044052	CWC15	0.0714738577972538
ENSMFAG00000041756	KIAA2026	0.232493502182843
ENSMFAG00000062761	MCTS1	0
ENSMFAG00000026656	IDI1	0.484249176587998
ENSMFAG00000039061	NDUFB1	0.29658337876992
ENSMFAG00000001018	SLC7A8	1.19574528355159
ENSMFAG00000034278	ANKRD6	0
ENSMFAG00000041599	COMMD7	0.0874706959743366
ENSMFAG00000016945	KLHL25	1.07826865228651
ENSMFAG00000002731	FBRS	0.232668866237523
ENSMFAG00000059912	""	0.142824283360202
ENSMFAG00000034013	KIRREL1	0.0358801920253544
ENSMFAG00000052852	""	0.224948945884156
ENSMFAG00000001492	""	0
ENSMFAG00000042430	""	0.488176889282709
ENSMFAG00000035960	GON4L	0.0098570169598399
ENSMFAG00000036636	""	0
ENSMFAG00000035836	TOMM7	0.193266473904731
ENSMFAG00000037534	ATP5PB	0.0744995426263114
ENSMFAG00000042042	PARK7	0
ENSMFAG00000039286	CCT7	0
ENSMFAG00000042533	PSMC2	0
ENSMFAG00000042090	MDH1	0
ENSMFAG00000044996	CETN2	0.00912330324743383
ENSMFAG00000042092	ZNF805	0.370668303473124
