Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean
ENSMFAG00000044563	MRPS12	5.86013400252401	5.45471328261977	5.48260725235186
ENSMFAG00000023313	""	3.23261044017193	2.88572178012556	2.90937599147071
ENSMFAG00000053715	""	4.76356870578326	4.42304647802278	4.55464602524262
ENSMFAG00000043946	MRPL19	3.11769410464464	2.81569918876817	2.76157481350686
ENSMFAG00000045411	STEAP2	2.55140650921003	2.97796614303446	2.757269486203
ENSMFAG00000035385	TIMM10B	5.37528077928963	5.10171652432027	5.19648427341809
ENSMFAG00000040841	CCDC92	5.00189974949641	4.19195612995194	4.2238342773877
ENSMFAG00000037994	IQSEC2	1.44385721244396	1.95406826216814	1.83621376417082
ENSMFAG00000042053	CHRNB1	2.82388175862765	2.46029204005873	2.56389743133863
ENSMFAG00000054257	""	1.0835718672584	1.76711807110674	1.55511974156085
ENSMFAG00000042930	DGAT2	8.72548360820844	7.48154104449425	7.99753943595913
ENSMFAG00000034305	DIP2A	2.99972773500231	3.37442992970753	3.40445273505213
ENSMFAG00000052911	SMIM26	7.25558988749082	6.88206868846918	6.87102929956556
ENSMFAG00000003981	""	5.99089857432662	5.6504531594506	5.67618122696272
ENSMFAG00000045541	COA3	5.35389932341925	5.00110930386662	5.09289801997766
ENSMFAG00000011399	CHIC1	1.14673335294893	1.73999916307058	1.61323021336301
ENSMFAG00000006908	POLR1G	2.67417069615359	2.2828585179022	2.37862474727514
ENSMFAG00000048388	""	3.92688011343258	3.54607286148071	3.49783796675954
ENSMFAG00000036723	MEGF6	0.865550622357473	1.65726420715822	1.86723451739095
ENSMFAG00000033451	UFC1	6.29555986182121	6.05432304740743	6.06537095338981
ENSMFAG00000041683	ALDH1A3	5.22169418848354	5.73658008834243	5.45183448216123
ENSMFAG00000037495	HMCN1	1.51021319365334	2.17001561449714	2.44422880408623
ENSMFAG00000043124	""	2.85610772856335	3.3601820420819	3.39299790030816
ENSMFAG00000040006	RPLP2	10.7768730047792	10.4621758799851	10.640639624285
ENSMFAG00000030593	""	3.79960736637479	3.54559648511736	3.56833425105522
ENSMFAG00000000884	UBL4A	4.76615428261131	4.36317945965882	4.47622224951432
ENSMFAG00000030364	UBE2V2	3.72676699391459	3.4184073023206	3.34221805537319
ENSMFAG00000032651	GOLGA7	4.4003177548396	4.21550434374846	4.27372155081971
ENSMFAG00000046063	TBC1D9	3.07771976226674	3.51122161973728	3.16152680620668
ENSMFAG00000033089	NDUFS4	6.60208704776842	6.24183210182424	6.25901744732541
ENSMFAG00000036577	ERICH3	2.36186741129292	2.02230138709306	2.00389790589884
ENSMFAG00000018166	LAMTOR2	6.07296885895854	5.7394755020485	5.8105881871468
ENSMFAG00000044837	GTF3A	5.09820382732815	4.78429738528357	4.75864062452235
ENSMFAG00000053543	""	2.87225739621236	2.41326070364258	2.68814203930014
ENSMFAG00000000231	TIMM17A	4.91116511813512	4.59528167773382	4.58579582742098
ENSMFAG00000033600	TSPO	7.98178829247263	7.38738258080964	7.4032598361169
ENSMFAG00000034086	ZNHIT1	6.73593310182593	6.43705207430812	6.5775730690255
ENSMFAG00000049732	IPMK	1.55351479083693	2.29503992730089	1.66748164783697
ENSMFAG00000023471	CPT1B	2.84338509642096	2.14871209830055	2.39869768550115
ENSMFAG00000043921	GCFC2	1.55704362030251	2.02258125128606	1.87328613790817
ENSMFAG00000039702	ZNF506	3.06059440216601	3.35130697487166	3.25426124891382
ENSMFAG00000062169	TMEM70	4.72861235371346	4.3704478914051	4.498562939414
ENSMFAG00000042425	REXO4	3.15267277132412	2.75629051041579	2.77612958693798
ENSMFAG00000033716	ACSL1	7.42360723571329	6.57176190434397	6.8484439295806
ENSMFAG00000008867	IMP3	4.580930429646	4.21275553826962	4.50161675209886
ENSMFAG00000041843	""	6.39779790752073	6.12268823590362	5.96109488657922
ENSMFAG00000038689	""	1.77199764577241	2.33395382817577	2.30292519694139
ENSMFAG00000041879	CHCHD1	6.16012596851991	5.76134948062256	5.79953471152804
ENSMFAG00000048666	H2AC6	6.70220504293766	5.79306043386339	5.7549800923659
ENSMFAG00000036182	CPLANE1	1.96092208591114	2.24449202578517	2.24444988330023
ENSMFAG00000030143	TMEM223	4.43394204650669	4.03328445442031	4.20635957917902
ENSMFAG00000039642	FAM102B	2.77558383059413	3.25480845360494	2.90723094614773
ENSMFAG00000031267	MRGPRF	4.53599716895245	4.05498427344399	4.33933618141745
ENSMFAG00000035354	""	3.7239921816105	3.24344735000998	3.15944722282714
ENSMFAG00000046067	PDE1C	0.30820925887177	0.96793509332325	0.915293636163941
ENSMFAG00000002955	PLP2	6.76987662590673	6.43376911397643	6.28461800600796
ENSMFAG00000045075	SHC1	6.64666187389613	6.93451681208337	6.96755020781089
ENSMFAG00000045739	ANKRD28	2.70431898506805	3.02236639901744	2.77774602217149
ENSMFAG00000045924	PEMT	5.77599493299595	5.2023962741034	5.04899557027567
ENSMFAG00000040024	KARS1	4.76764124272311	4.54168022031236	4.49565495740018
ENSMFAG00000031388	STUB1	6.0751864626882	5.81257469047084	5.95636875396004
ENSMFAG00000034327	PNPLA7	3.15061356415892	3.69014043067971	3.82409984982237
ENSMFAG00000030889	KCTD14	3.05607548033902	2.33600331681156	2.46983642346672
ENSMFAG00000036382	ADAMTS9	2.32899831794128	3.54144706604984	3.02992784493997
ENSMFAG00000044262	CSF2RB	2.38862406273665	3.09022937929267	2.68003549786268
ENSMFAG00000030783	CMC2	4.67034684039085	4.23927555596099	4.32328522598472
ENSMFAG00000032607	TXNDC9	4.16607293715091	3.9111799415422	3.98911005204681
ENSMFAG00000035581	NUDC	5.04711634203002	4.75831461198489	4.68419663242375
ENSMFAG00000003446	MRPS24	5.84515337306364	5.54462164818776	5.51251131252478
ENSMFAG00000043019	ATP11C	2.3205296996986	2.91967862664962	2.82620660726427
ENSMFAG00000045983	ROMO1	7.99464456786742	7.62248481817059	7.76018569739802
ENSMFAG00000044367	KIFBP	4.18459622247703	3.90752661501832	3.87180249311712
ENSMFAG00000000931	GCC2	2.40548301847272	2.73118368578969	2.62312897180727
ENSMFAG00000003883	COX11	3.25243564983043	2.86761210546572	2.91427140211963
ENSMFAG00000052365	SKP1	7.17663224025219	6.90816253225071	6.9148433936726
ENSMFAG00000032663	PPP3CB	5.01748713607099	4.82026778777978	4.77462116859856
ENSMFAG00000064730	""	6.17885957790719	5.86199834141421	5.91482081642026
ENSMFAG00000035834	MRPS22	3.5541618770913	3.27429655062511	3.31125405175572
ENSMFAG00000002467	""	2.68628810357212	2.1989461739796	2.1679894748907
ENSMFAG00000002167	SEC61B	7.2745171378974	6.90502039893741	7.01265393037229
ENSMFAG00000036603	""	5.1638682580814	4.85012582067047	4.93655253930362
ENSMFAG00000003980	""	6.26109327735279	5.752237031548	5.82772152703206
ENSMFAG00000015620	GTF2F2	3.41628712316622	3.09846937935422	3.02323985689976
ENSMFAG00000040812	DMRT2	4.19267978969218	2.9821475142636	3.4711340810926
ENSMFAG00000033279	PCNX1	3.12391461388144	3.52127405673385	3.3332573450859
ENSMFAG00000039816	PIN1	6.01666001058804	5.72289408938162	5.71795284167391
ENSMFAG00000033691	""	7.19391049999292	6.8243998317019	6.83428013051807
ENSMFAG00000030022	PINX1	2.61507234946446	2.29686715431069	2.49734725477112
ENSMFAG00000045460	FES	3.32533410462895	3.77481478825376	3.73765979280023
ENSMFAG00000037347	DUSP16	2.25041953855911	2.67848350590752	2.26656333264388
ENSMFAG00000045079	DPY30	5.24311587659992	4.95597127106537	5.05139330421784
ENSMFAG00000045085	RPS6KA3	3.45102739930789	3.75625086814801	3.58848753566476
ENSMFAG00000040661	WWC3	2.28323870439435	2.84054490531454	2.65629975405922
ENSMFAG00000001233	ADGRG6	1.15812045024073	1.8974507034968	1.39662313602155
ENSMFAG00000029870	COX5A	6.67447435169051	6.21939337435076	6.14086552947492
ENSMFAG00000036062	""	8.08424394880475	7.72183643727329	7.83804255864091
