Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean
ENSMFAG00000045166	HELZ	2.22040432391845	2.29018272858905	1.89794910551161
ENSMFAG00000000405	MYDGF	3.87247809708047	3.94795215579306	4.18616792600621
ENSMFAG00000029954	RELL1	2.67464562451535	2.73640689387444	2.73042319038749
ENSMFAG00000003726	PPP1R12B	3.66226065453511	3.76666365529995	3.15846322123282
ENSMFAG00000031868	MSL3	3.15315888834366	3.11136721034972	3.28389052631805
ENSMFAG00000039501	MLLT1	2.83003956815893	2.81572973882949	2.70935994938999
ENSMFAG00000037894	ZDHHC1	3.04202082661443	3.08351014827609	3.38974865298964
ENSMFAG00000001965	ASH2L	4.61495707440076	4.64455868028845	4.5372283824398
ENSMFAG00000041531	EFR3A	4.55306976893054	4.52782051903163	4.27977375346735
ENSMFAG00000049898	""	3.07067784875779	3.01626945160898	2.82676003315734
ENSMFAG00000045264	""	5.23344664320786	5.19717221753801	5.33079978914991
ENSMFAG00000033441	KIAA1522	1.28819752465606	1.36533128415205	1.78348622942002
ENSMFAG00000000881	TRUB2	3.7898016235192	3.76439413518494	3.8298240676145
ENSMFAG00000043537	PARG	2.16002853479157	2.15243943096199	2.03674139369763
ENSMFAG00000003665	DNASE2	3.34014000610376	3.28123073005304	3.50744103761822
ENSMFAG00000031971	""	2.30558118708239	2.25017474125036	2.26110399650741
ENSMFAG00000033118	ASPN	4.12723019125636	4.30058923516161	5.2173938448047
ENSMFAG00000046081	CUL1	5.21848946091512	5.19451452990849	4.96980079661483
ENSMFAG00000037562	GPANK1	3.09649452052039	3.07761391501932	3.12359617967119
ENSMFAG00000003069	WDR1	4.96110491353135	4.93471404771661	5.09428868464558
ENSMFAG00000039592	ST3GAL4	2.75653101410905	2.80921958134102	3.17098412156859
ENSMFAG00000044603	HSPBP1	3.40294064404214	3.36448658493701	3.25327063262869
ENSMFAG00000031867	CFDP1	2.87887278000869	2.82256240320225	3.2087804377235
ENSMFAG00000033632	CSRP1	5.68509884527386	5.64748811065627	5.52101923287738
ENSMFAG00000041901	GTF3C5	2.25772681604683	2.2378273847406	2.07050686462637
ENSMFAG00000031199	CCNDBP1	2.91638692580871	2.89244105541697	2.81126876491187
ENSMFAG00000046344	EPB41	1.85413579218562	1.90832074702721	1.6331927760128
ENSMFAG00000036555	NFKB1	2.53515978628589	2.57153013397198	2.64529850731597
ENSMFAG00000063820	""	2.98310519350415	2.93470512908981	2.79411385367095
ENSMFAG00000038626	FERMT2	5.06139267506772	5.04328687595883	4.96733591585288
ENSMFAG00000023380	RAB9A	2.44227089934557	2.42667660399949	2.51076512112932
ENSMFAG00000039502	TXNRD2	2.87836944989655	2.88174174444258	3.11430334571578
ENSMFAG00000042006	MED8	2.96139602172856	2.90532036483252	3.15327951290744
ENSMFAG00000027132	PAIP2B	3.5429451924787	3.54884462584577	3.00875896296118
ENSMFAG00000035761	RNH1	5.12439832413568	5.09251262020667	5.37619586016878
ENSMFAG00000059968	""	3.67347767755487	3.71211199172923	3.79517737445997
ENSMFAG00000035783	FITM1	7.15575958130269	7.20029682184416	6.97623490832119
ENSMFAG00000039731	QDPR	5.35072479318919	5.31581355861012	5.30554904157393
ENSMFAG00000036858	ZNF317	1.85278732788453	1.84296234412498	1.64214502238402
ENSMFAG00000001168	ACADS	5.04482404700739	4.99552053183453	4.74886946850346
ENSMFAG00000039516	MTDH	5.2583587278745	5.25875069557729	4.98332959515419
ENSMFAG00000044810	FBXW4	5.21542926410156	5.25324377700428	4.93316333201777
ENSMFAG00000030886	XPO7	3.81543096426118	3.78386829963531	3.59874333316181
ENSMFAG00000040579	YIPF6	3.99481170350614	4.02128912762528	3.6641801059202
ENSMFAG00000000995	FMNL2	1.81544720582096	1.85053490241024	2.17185655562897
ENSMFAG00000030923	VXN	1.42809673422444	1.3316712143373	1.22901379940547
ENSMFAG00000030777	HMOX2	3.61319387166534	3.57232684795535	3.66600651793947
ENSMFAG00000041496	CASC3	4.36026954365564	4.38479611572904	4.40909761577599
ENSMFAG00000001529	ABHD4	3.90912475838356	3.87131605771647	3.75418693235888
ENSMFAG00000038876	NPR2	2.72339301110105	2.74555542128771	2.92688813701526
ENSMFAG00000002412	NQO1	3.2688587249632	3.19675546680566	3.49088087759062
ENSMFAG00000044525	EPN3	1.7114040033986	1.77674476193949	1.84336226099085
ENSMFAG00000030158	FKBP5	5.57398171925156	5.60074232433153	4.50973008837793
ENSMFAG00000018716	STARD10	3.63697065879956	3.55640149674548	3.56844410141944
ENSMFAG00000037770	GNAI3	3.33919100852554	3.40225163793519	3.51707940193576
ENSMFAG00000002820	FAM184B	2.47021046091158	2.42816593006155	2.13928155435625
ENSMFAG00000039838	""	3.45600719609928	3.50361117515622	3.8498422179067
ENSMFAG00000002278	ATF2	3.06322247854961	3.03914097107399	3.01005034780223
ENSMFAG00000038993	LMO2	3.43411960319329	3.41670324064024	3.52453416416361
ENSMFAG00000000329	SCARB1	3.52244063890922	3.54545571919984	3.06268210516321
ENSMFAG00000042022	BCL2L13	5.24840267943939	5.24334156842433	5.04058016392304
ENSMFAG00000036845	PCNA	3.69601217919586	3.72073239896793	3.75600216652113
ENSMFAG00000039969	CLN3	2.78016671931054	2.75067710066243	2.94546572562048
ENSMFAG00000044932	SUMF2	3.52068281858344	3.48736941172385	3.81501615805501
ENSMFAG00000040283	CACNG1	7.30109693682923	7.35477237426437	6.91925676505635
ENSMFAG00000003975	TLN2	2.28086838940121	2.22466131301699	1.71765671281992
ENSMFAG00000038477	ITIH4	2.19439785860096	2.22871148791442	3.1231982462515
ENSMFAG00000035753	SAMD4B	2.91749246859639	2.95157219238498	2.88279639798689
ENSMFAG00000043265	FBXO40	5.98136219318869	5.89838331351539	5.28529363409783
ENSMFAG00000045476	EHD2	5.02970694294883	5.06837271590836	4.9906535310901
ENSMFAG00000044705	HTATSF1	5.38303981829761	5.37108788964318	5.2939276887285
ENSMFAG00000036367	PWP1	3.9340450545511	3.90957658248746	3.97101983579921
ENSMFAG00000036820	VASP	3.6226570989945	3.68591027770129	3.85940090279257
ENSMFAG00000001520	TTBK2	1.68366611267233	1.6846550902655	1.48331659667942
ENSMFAG00000042066	SEPTIN11	2.91053007659005	2.97446751669918	2.99606619921792
ENSMFAG00000001408	ELP2	2.44227725942112	2.46118828569741	2.42555901377784
ENSMFAG00000045192	STX4	2.44409059302445	2.41581923971635	2.70952326579002
ENSMFAG00000040338	POLR3C	2.21497956779544	2.24096570649396	2.41422040560712
ENSMFAG00000002296	PBX1	1.6934996219444	1.6741564600834	1.75493294347853
ENSMFAG00000016523	RARG	2.07294717952373	2.0424609475736	2.36936389202516
ENSMFAG00000041561	ARPC3	5.48380471791252	5.40080432951193	5.83077673583415
ENSMFAG00000033467	SPRYD3	3.82762266557981	3.78932452828869	3.68181375795269
ENSMFAG00000000395	BRAT1	2.09380785175423	2.09902361710402	2.33558852794339
ENSMFAG00000042886	TRAPPC13	3.41040690714329	3.38419760680004	3.21954704193987
ENSMFAG00000002561	ARHGAP18	3.7292919810438	3.67908217079551	3.48267557301947
ENSMFAG00000041681	PNRC2	5.56527567712799	5.56807707460344	5.56975869988966
ENSMFAG00000052177	""	2.73599886949234	2.71717675521336	2.86675049017845
ENSMFAG00000059466	ARL5B	2.35204390398435	2.40020984361249	2.16140594651789
ENSMFAG00000032145	MAGOH	3.22410811256097	3.20450899182523	3.23649396856011
ENSMFAG00000035656	IER3	3.61106860243603	3.58167573197061	4.27717033372315
ENSMFAG00000013069	PARP2	3.23694382414995	3.24069599674341	3.23491630617353
ENSMFAG00000002459	SCO1	3.8852467394846	3.86452487281167	3.91112989131745
ENSMFAG00000002282	GRK2	4.84028931367628	4.81799035088875	4.61992006208175
ENSMFAG00000055089	RAB1A	4.26497832421998	4.21975027279637	4.33744183931206
ENSMFAG00000032452	MARK2	2.73361933719657	2.70977391539518	2.71466045430033
ENSMFAG00000040290	DEPTOR	5.41468261555308	5.42236641502207	4.97834283247612
ENSMFAG00000037305	NTPCR	4.51681071399693	4.46398423334055	4.43767929749954
ENSMFAG00000001391	CDCA7L	2.46075610051284	2.45318827447296	2.48509840821989
ENSMFAG00000047568	""	5.17987478086873	5.11721086214225	5.3453342181159
ENSMFAG00000043518	TPP2	4.26100005429027	4.28814270640992	4.10430094387697
ENSMFAG00000045986	DNM2	4.72240636082846	4.73435781799385	4.61013539641981
ENSMFAG00000033257	""	3.24890463201897	3.22611823587556	3.16789849724055
